AtomicNumber,Element,Symbol,AtomicMass,NumberofNeutrons,NumberofProtons,NumberofElectrons,Period,Group,AtomicRadius,Electronegativity,FirstIonization,Density,MeltingPoint,BoilingPoint
92,Uranium,U,238.029,146,92,92,7,,,1.38,6.1941,1.90E+01,1405.15,4404
93,Neptunium,Np,237,144,93,93,7,,,1.36,6.2657,2.05E+01,913.15,4273
94,Plutonium,Pu,244,150,94,94,7,,,1.28,6.0262,1.98E+01,913.15,3501
95,Americium,Am,243,148,95,95,7,,,1.3,5.9738,1.37E+01,1267.15,2880
96,Curium,Cm,247,151,96,96,7,,,1.3,5.9915,1.35E+01,1340.15,3383
97,Berkelium,Bk,247,150,97,97,7,,,1.3,6.1979,1.48E+01,1259.15,983
98,Californium,Cf,251,153,98,98,7,,,1.3,6.2817,1.51E+01,1925.15,1173
99,Einsteinium,Es,252,153,99,99,7,,,1.3,6.42,1.35E+01,1133.15,
100,Fermium,Fm,257,157,100,100,7,,,1.3,6.5,,,
101,Mendelevium,Md,258,157,101,101,7,,,1.3,6.58,,,
102,Nobelium,No,259,157,102,102,7,,,1.3,6.65,,,
103,Lawrencium,Lr,262,159,103,103,7,,,,,,,
104,Rutherfordium,Rf,261,157,104,104,7,4,,,,1.81E+01,,
105,Dubnium,Db,262,157,105,105,7,5,,,,3.90E+01,,
106,Seaborgium,Sg,266,160,106,106,7,6,,,,3.50E+01,,
107,Bohrium,Bh,264,157,107,107,7,7,,,,3.70E+01,,
108,Hassium,Hs,267,159,108,108,7,8,,,,4.10E+01,,
109,Meitnerium,Mt,268,159,109,109,7,9,,,,3.50E+01,,
110,Darmstadtium ,Ds ,271,161,110,110,7,10,,,,,,
111,Roentgenium ,Rg ,272,161,111,111,7,11,,,,,,
112,Copernicium ,Cn ,285,173,112,112,7,12,,,,,,
113,Nihonium,Nh,284,171,113,113,7,13,,,,,,
114,Flerovium,Fl,289,175,114,114,7,14,,,,,,
115,Moscovium,Mc,288,173,115,115,7,15,,,,,,
116,Livermorium,Lv,292,176,116,116,7,16,,,,,,
117,Tennessine,Ts,295,178,117,117,7,17,,,,,,
118,Oganesson,Og,294,176,118,118,7,18,,,,,,
